actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.1415568,1.0518967,15.0,0.008988338,-0.017574422,0.6927838,0.06666666666666667,80.0,0.98440325,3.3741422,2.9804754,-0.018494425,-3.246414,5000,0.70250046,1000,1000.0,1000,5,0.0,123.77815449776244,108.38663302221453,84.63654064351385,5,14.535598454314691,3.01467,-0.022069052,-3.3600836,20000,0.7047737,1000,1000.0,1000,20,0.0,128.11043107439764,87.44737988875197,42.6337629025511,20,24.210449552880124,20.0,55.50919771194458,20000.0,1.0,55.50919771194458,20000.0,360.30064970109197,20000.0
0.07587765,1.0513896,7.8,0.0060918634,-0.009869956,0.69244146,0.1282051282051282,80.0,1.2355214,10.506593,2.8145204,-0.023803534,-2.8883884,5000,0.7434741,1000,1000.0,1000,5,0.0,242.13825360730698,230.42858850401535,219.2700885917293,5,9.01378748436787,3.5875251,-0.017975196,-3.309922,20000,0.72244257,1000,1000.0,1000,20,0.0,236.91322430945002,174.99882335046877,115.5039511819341,20,36.07052111794669,40.0,54.223891258239746,20000.0,2.0,109.86024260520935,40000.0,368.8411055700626,40000.0
0.08374865,1.049332,5.8,0.006927957,-0.008476788,0.6910198,0.1724137931034483,80.0,1.5806323,21.85179,3.2825406,-0.015321105,-3.523842,5000,0.8363797,1000,1000.0,1000,5,0.0,376.256545420154,363.160071611451,335.44454707816476,5,14.665349248791495,3.8878224,-0.017410398,-3.617624,20000,0.79567784,1000,1000.0,1000,20,0.0,387.36643073987216,311.6032527247382,238.49864850682206,20,42.02094690725792,60.0,59.299190521240234,20000.0,3.0,169.2870306968689,60000.0,337.27273212669314,60000.0
0.17400159,1.0390762,38.0,0.010445289,-0.022918684,0.68399787,0.015789473684210527,80.0,0.9814493,34.13088,3.303529,-0.020297963,-3.2745829,5000,0.8781198,1000,1000.0,1000,5,0.0,430.7020088098943,424.4418194954284,415.45528812427074,5,5.104494011282167,3.4967806,-0.020281773,-3.5056262,20000,0.8599276,1000,1000.0,1000,20,0.0,433.7548102126457,399.44246514863045,348.37302733628894,20,22.86934795379721,80.0,61.12777042388916,20000.0,4.0,230.54363083839417,80000.0,327.18353477168307,80000.0
0.0925415,1.0331752,8.0,0.0073146326,-0.0072420267,0.6799904,0.125,80.0,0.4499595,41.044632,3.6550026,-0.01572084,-3.4792204,5000,0.91416323,1000,1000.0,1000,5,0.0,470.1588151808828,458.3132565027569,443.1850665509701,5,10.213281713395833,3.8636217,-0.019344367,-3.5382643,20000,0.8923994,1000,1000.0,1000,20,0.0,462.15809648195864,435.7244502711218,392.284489243757,20,19.62433574246467,100.0,55.811789751052856,20000.0,5.0,286.49392652511597,100000.0,358.3472253659938,100000.0
0.16379099,1.0264639,21.4,0.01134826,-0.019352868,0.675438,0.037383177570093455,80.0,0.29270923,46.66488,3.3783016,-0.020719202,-3.5760338,5000,0.9446446,1000,1000.0,1000,5,0.0,528.1914239208927,511.9098640086668,498.7362915947451,5,12.370410139197098,3.90285,-0.018086275,-3.53969,20000,0.9321722,1000,1000.0,1000,20,0.0,511.7438046494499,486.67689345447013,427.7482362717856,20,21.1267810561614,120.0,57.80647683143616,20000.0,6.0,344.4342999458313,120000.0,345.98199191969536,120000.0
0.13902093,1.0200676,24.2,0.010046198,-0.020164026,0.671126,0.03305785123966942,80.0,0.29905716,51.23739,3.575467,-0.015950518,-3.2545702,5000,0.95221233,1000,1000.0,1000,5,0.0,534.2182117526536,527.6901535901358,509.3928850556258,5,9.573069048549542,3.6013906,-0.014048861,-3.560166,20000,0.94844514,1000,1000.0,1000,20,0.0,546.1021405542269,522.2242177704279,461.677606000565,20,19.80831090977775,140.0,68.7438485622406,20000.0,7.0,413.36465287208557,140000.0,290.9351224625142,140000.0
0.1157608,1.0136799,12.8,0.00909333,-0.01247499,0.6668666,0.078125,80.0,0.28144896,54.38716,3.3831673,-0.013193696,-3.6560328,5000,0.9560365,1000,1000.0,1000,5,0.0,589.844876314979,563.7796885919524,535.5695158333983,5,17.904733182468057,3.9956062,-0.016297866,-3.829655,20000,0.95187587,1000,1000.0,1000,20,0.0,568.581739901565,540.7952162098494,473.4219976114109,20,22.96801849406651,160.0,59.69392132759094,20000.0,8.0,473.19376015663147,160000.0,335.04248933895826,160000.0
0.15920328,1.0021806,44.0,0.011508145,-0.023382138,0.65930516,0.017045454545454544,80.0,0.27434796,57.23295,3.5913837,-0.0051811025,-3.3917146,5000,0.9575678,1000,1000.0,1000,5,0.0,596.7170885102823,586.7342938768095,581.6509601189173,5,5.200836286611314,3.6777747,-0.008722575,-3.8402865,20000,0.954938,1000,1000.0,1000,20,0.0,602.0412624490418,573.2139013509186,524.938588719524,20,20.84448739552028,180.0,57.8561737537384,20000.0,9.0,531.1623361110687,180000.0,345.6848025437854,180000.0
0.1390411,0.9881119,32.4,0.010369885,-0.020341344,0.6501448,0.024691358024691357,80.0,0.2367546,58.791683,3.71113,-0.0073154406,-3.4964116,5000,0.9624613,1000,1000.0,1000,5,0.0,601.2131733894348,588.6143292749068,559.0480733480072,5,15.69932509397414,3.5505266,-0.008335066,-3.9408917,20000,0.96107435,1000,1000.0,1000,20,0.0,616.8830034548882,579.2496513720802,516.5903484348673,20,26.106576481241117,200.0,57.118966817855835,20000.0,10.0,588.3902888298035,200000.0,350.14638944323207,200000.0
